,roles,companies,locations,experience,skills
632,Sr Data Scientist,Bigshyft Hiring for Embibe,Bengaluru,7-10 Yrs,"NLP - Natural Language Processing
R
Statistical Modelling
MATLAB
Python"
633,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
634,Data Scientist,MyITBridge,"Trivandrum, Kochi",3-6 Yrs,"Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
635,Senior Data Scientist(Build Data Models/Solutions) -Bangalore/Chennai,2Coms Consulting Pvt Ltd.,"Chennai, Bengaluru",6-11 Yrs,"Machine Learning
Code
Data Science
R
Data Model
NLP
Algorithms
Coding"
636,DATA SCIENTIST - New Delhi - Leading MNC,Advance Talent Services,Delhi NCR,3-8 Yrs,"Database Administration
data engineer
data engg
handoop
DATA SCIENTIST
Database Architecture
Database Development
data interaction"
637,Senior Data Scientist,Bion,Bengaluru,3-6 Yrs,"senior data scientist
large - scale compuations
Artificial Intelligence
Data Scientist
information retrieval
machine learning
large - scale computing"
638,Sr. Data Scientist - Bangalore location,Populux HR,Bengaluru,4-9 Yrs,"Predictive Modeling
python
R
Data Scientist
Sr.Data Scientist
Senior Data Scientist
Data Mining
Lead Data Scientist"
639,Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
GLM / Mix Models
Data Modeling
Data Analytics
Statistics"
640,Sr. Data Scientist - Bangalore location,Populux HR,Bengaluru,4-9 Yrs,"Predictive Modeling
python
R
Data Scientist
Sr.Data Scientist
Senior Data Scientist
Data Mining
Lead Data Scientist"
641,Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
GLM / Mix Models
Data Modeling
Data Analytics
Statistics"
642,Senior Consultant/consultant/assistant Manager/manager- Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,2-5 Yrs,"Predictive Modeling
CNN
k - NN
Data Management
Data Mining
SVM
Statistics
Machine Learning"
643,Sr Consultant/ Consultant/ Assistant Mgr/ Mgr - Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Mining
Data Analytics
Statistics"
644,Sr Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,6-9 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
645,Job Opening For Senior Data Scientist With 5yrs To 12yrs of Experience,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Knowledge Sharing
Scala
Big Data
Clarity
Analytics
Deep Learning
Data Science
Agile Project Management"
646,Data Scientist-Analytics & Insights,Hiring Joint,Noida,3-6 Yrs,"Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
647,Data Scientist,"vLogix Technologies Pvt. Ltd.,",Chennai(Okkiyam Thuraipakkam),2-5 Yrs,"algorithms
python
data analysis
data science
RDBMS
data mining
numpy
statistical analysis"
648,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
649,Data Scientist,Jubna,Noida,4-9 Yrs,"C++
Data analysis
data science
SAS
Project management
Agile
Perl
Business intelligence"
650,Data Scientist,Tatras,Delhi,4-8 Yrs,"Unix
C++
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining"
651,Jr.Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,1-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
SCALA
Business intelligence
Data mining"
652,Data Scientist,Denave India Pvt Ltd.,India,2-5 Yrs,"Computer science
Data analysis
Team management
RDBMS
Machine learning
Information retrieval
Business intelligence
Data mining"
653,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,4-8 Yrs,"Unix
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining
Information technology"
654,AI / ML Data Scientist - Democratize commerce through Technology,CareerXperts Consulting,Noida,2-7 Yrs,"Computer science
System architecture
C++
Image processing
Analytical
Consulting
Machine learning
Data mining"
655,Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
656,SDE - Data Scientist,Zamroo,Noida,4-9 Yrs,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
657,Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Artificial Intelligence
Big Data
Data Mining
Data Warehousing
Machine Learning"
658,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
659,Data Scientist,QuarkXpress Publishing R and D India Pvt Ltd,Mohali,5-7 Yrs,"Computer science
Data analysis
Business objects
Google Analytics
Coding
MySQL
Javascript
Predictive modeling"
660,Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Data Science
Python Developer
Big Data
Data Mining
Python"
661,IQM - Data Scientist,IQM Corporation,"Ahmedabad, ahmedabad",8-10 Yrs,"analytical
Data processing
Business Executive
Computer science
Algorithms
Coding
Machine learning
design"
662,Data Scientist,DataToBiz,"Panchkula, Chandigarh",3-8 Yrs,"Telecom
Project management
Analytical
MySQL
Machine learning
MongoDB
Data mining
Analytics"
663,Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
664,Lead Data Scientist,Positive Integers Pvt Ltd,Chennai,5-10 Yrs,"rest
algorithms
python
SAS
Mentor
Lead Coach
Management
Analytics"
665,Lead - Data Scientist,BigTapp Analytics Pte Ltd,Chennai,5-7 Yrs,"C++
Data analysis
Prototype
SAS
cassandra
Analytical
Actuarial
SPSS"
666,Data Scientist - R/ Python,Techno-Comp Computer Services Private Limited,Chennai,3-5 Yrs,"R
NLP
Web Technologies
Neural Networks
Web Application
Data Visualization
Machine Learning
Python"
667,DATA SCIENTIST,Saffron Consultancy Services(scs),Delhi,7-12 Yrs,"deep learning
Machine learning
Manager Technology
Data structures
Computer application
Executive management
Data mining
big data"
668,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
669,Data Scientist,dataspire Technologies Private Limited,Coimbatore,2-5 Yrs,"C++
Data analysis
development
Prototype
large
software
Tools
developing"
670,Lead Data Scientist,Snaphunt,Remote,5-10 Yrs,"Tensorflow
Pattern Recognition
Natural Language Processing
Computer Science
Hadoop
Big Data
Data Mining
Spark"
671,Data Scientist,Sumeru Verde Technologies,Noida,2-5 Yrs,"Business objects
SAS
Database design
XML
Javascript
Data quality
Manager Quality Control
SPSS"
672,Data Scientist,Demoport.in,Chennai,3-5 Yrs,"Computer science
Cluster analysis
System architecture
Solution design
Data analysis
cassandra
Analytical
Data mining"
673,Principal Data Scientist,CereSight,India,4-9 Yrs,"Computer science
deep learning
data science
spark
Artificial Intelligence
Machine learning
Manager Technology
big data"
674,Data Scientist,Scalable Systems Pvt. Ltd.,bhubaneswar,4-7 Yrs,"Computer science
Policies
Data management
Machine learning
Service
Perl
SPSS
QlikView"
675,Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Noida,4-8 Yrs,"Power Bi
Data Scientist
Lead Data Analyst
Data Visualization
Tableau
Data Analytics"
676,Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,2-3 Yrs,"Statistical analysis
SAP consulting
data science
Machine learning
Data collection
Data mining
MATLAB
Statistics"
677,data scientist - biotechnology Jobs,Right Step Consulting,Delhi,2-5 Yrs,"Mining
Evaluation
Data analysis
Analytical
KPO
Research
Business intelligence
Operations"
678,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
Analytical
Map Reduce
Technical
Data mining"
679,Data Scientist - Computer Vision and Machine Learning,IMMCO Software Solutions Pvt. Ltd.,Kochi,1-3 Yrs,"Computer Vision
Machine Learning"
680,Sr Data Analyst/Data Scientist,Brillius technologies,Noida,3-6 Yrs,Sr Data Analyst/Data Scientist
681,Data Scientist,WhizKidz Media Pvt Ltd,not specified,2-5 Yrs,"data science
R Programming
Data Scientist
big data
Statistics
Python"
682,Data Scientist,INFINIUM SOLUTIONZ PVT LTD,Ahmedabad,3-7 Yrs,"GIS
Data analysis
RDBMS
Coding
Project management
Machine learning
Data structures
MATLAB"
683,Data Scientist,Eyeo,Remote,4-9 Yrs,"IT Skills
Python
Cloud
work from home
Web technologies
Version control
Linux
HP data protector"
684,Data Scientist,The Art Of Living Human Resource,Coimbatore,3-6 Yrs,"Statistical analysis
Artificial Intelligence
Programming
MongoDB
HR
Management
Data mining
Statistics"
685,Data Scientist,Art of Living HR,Coimbatore,3-6 Yrs,"Statistical analysis
Artificial Intelligence
Programming
MongoDB
HR
Management
Data mining
Statistics"
686,Data Scientist,"Coresight Research, Inc.",Mangalore,5-10 Yrs,"Analytical skills
Retail
Data analysis
Time management
Data modeling
Data collection
Research
SQL"
687,Data Scientist,ExecBoardinAsia,Chennai,5-10 Yrs,"Statistical analysis
data science
model development
Research
Monitoring"
688,Data Scientist,Seven Consultancy,Delhi,2-7 Yrs,"advanced analytics
Renewable energy
data science
big data analytics
Analytical
Workflow
model development
Deployment"
689,Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
690,Data Scientist,Analytos,India,2-4 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
691,Opportunity For Data Scientist,8K Miles Software Services Limited,Chennai,3-6 Yrs,"R
Machine Learning
Python
Tensorflow
Data Science
NLP
Classification
Keras"
692,Data Scientist,Angel Broking Limited,Andheri,4-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
693,Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
694,Data Scientist,AgileTech InfoSolutions,Chennai,4-9 Yrs,"Retail
C++
Analytical
Machine learning
E-commerce
Perl
Predictive modeling
Data mining"
695,Data Scientist,Healtheoz India,Noida,4-8 Yrs,"Computer science
Cloud computing
Logistic regression
PDF
Machine learning
linear regression
Predictive modeling
data visualization"
696,Data Scientist (Jr. Resource),Job Scan Solution,Thrissur,3-6 Yrs,"data cleansing
deep learning
Machine learning
big data
Python"
697,Data Scientist,VEHERE INTERECTIVE PVT LTD,Kolkata,5-9 Yrs,"Computer science
deep learning
cyber security
Machine learning
Data structures
Troubleshooting
Data mining
Analytics"
698,Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
699,Data Scientist,placementplanet,Ahmedabad,2-3 Yrs,"Machine learning
Data collection
Programming
Data mining
Analytics"
700,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
701,Data Scientist,TRUECONNECT PEOPLE CONSULTING,Kolkata,2-7 Yrs,"Data Engineering
Data Integration"
702,Data Scientist,Hyrefox,Chennai,2-7 Yrs,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
703,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,2-5 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
704,Data Scientist,RevenueCat,Remote,2-7 Yrs,"Data modeling
Database
Programming
Infrastructure
Wellness
Data warehousing
Product marketing
SQL"
705,Data Scientist,Symmetrical Management Consulting,Noida,5-10 Yrs,"Statistical analysis
SAS
Database management
Data collection
HTML
WPS
Manager Quality Control
Data mining"
706,Data Scientist,Optimum Solutions,Chennai,5-10 Yrs,"hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
707,Lead Data Scientist (ML),TRH Consultancy Services,"Bengaluru, Hyderabad",6-11 Yrs,"Data Science
Logistic Regression
Exploratory Data Analysis
Linear Regression
Decision Trees
SVM
Clustering
Machine Learning"
708,Data Scientist,Skillsoft,Hyderabad,1-3 Yrs,"Process design
Logistic regression
NPV
Agile
Predictive modeling
Continuous improvement
Business solutions
Talent management"
709,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
710,Senior Data Scientist - Artificial Intelligence - Online/ecommerce,Change Leaders,"Navi Mumbai, Mumbai",3-7 Yrs,"Predictive Modeling
Artificial Intelligence
Data Management
Machine Learning
Statistics
Data Science
NLP
MXNet"
711,Job | Data Scientist | Machine Learning & Statistical Analysis,Manmuk Creations,"Delhi, Mumbai, Bengaluru",2-5 Yrs,"Tensorflow
Nltk
Algorithms
Artificial Intelligence
Keras
Spacy
Machine Learning
Statistics"
712,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Mumbai,6-10 Yrs,"R
Machine Learning ML
Statistical Modelling
MATLAB
Python"
713,Data Scientist Intrrnship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Navi Mumbai, Thane, Mumbai(Sector-19D Vashi)",0-0 Yrs,"Data Science
data science internship in panvel
data science internship in kharghar
data science internship in navi mumbai
data science internship in vashi
data science internship in nerul
data science internship in sanpada"
714,Junior Data Scientist/ta,WSD CONSULTANT PRIVATE LIMITED,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon",1-5 Yrs,"Data Science
Machine learning content development
Artificial Intelligence
Data Scientist
Machine Learning"
715,Sr. Data Scientist / Machine learning Expert,Bidgely Technologies Private Limited,Bengaluru,4-6 Yrs,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
716,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,2-5 Yrs,Senior Data Scientist
717,Manager - Data Scientist/python - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP & Text Mining
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
718,Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
719,Data Scientist,Podar Education Network Pvt Ltd,Mumbai(Parel),2-6 Yrs,"python
r
tableau
Microsoft Power BI
machine learning"
720,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-5 Yrs,"Report generation
MySQL
query
Database
Writing
Workflow
Oracle
Business Executive"
721,Data Scientist,Talentstack Consulting Private Limited,Bengaluru,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
722,Lead - Data Scientist,Catalyst,Bengaluru,6-11 Yrs,"Data Science
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity
Analytics"
723,"Opening For Data Scientist - 8+ yrs Exp, Bangalore",Careernet Technologies Pvt Ltd,Bengaluru,8-12 Yrs,"Predictive Modeling
Logistic Regression
Artificial Intelligence
Natural Language Processing
randon forest
Machine Learning
Deep Learning
Model Development"
724,Lead - Data Scientist,Bion,Bengaluru,6-11 Yrs,"Data Science
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity
Analytics"
725,Lead - Data Scientist,Bion,Bengaluru,6-10 Yrs,"Data Science
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity
Analytics"
726,Lead - Data Scientist,Bion,Bengaluru,6-8 Yrs,"Data Science
Data Scientist
Machine learning
Predictive
Time Series
Regression
calculus
Predictivity"
727,Data Scientist -global Product Based Company -bangalore,Selective Global Search Pvt. Ltd.,Bengaluru,10-20 Yrs,"Data Science
Presentation Skills
NLP
Computer Science
Research Development
Statistical Data Analysis
Computer Vision
Machine Learning"
728,Job | Data Scientist,TopGear Consultants Pvt Ltd.,Bengaluru,5-10 Yrs,"gradient boosting
data science
decision trees
data scientist
random forest"
729,Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"Data Science
NLP
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity"
730,Data Scientist - Telecom - IIM/ IIT/ Bits/ NIT/ FMS/ MDI,Change Leaders,Bengaluru,4-8 Yrs,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
731,Data Scientist - Telecom - Iim/iit/bits/ Nit/fms/mdi,Change Leaders,Bengaluru,4-8 Yrs,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
732,Data Scientist - KPO,Antrors HR Solutions,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
733,Data Scientist - Python/r,Catalyst,Bengaluru,2-6 Yrs,"Data Science
R
Data analysis
Data Scientist
Data Management
Python
SQL"
734,Data Scientist - Artificial Intelligence,Change Leaders,Bengaluru,3-6 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Data Management
Data Analytics
Machine Learning
Statistics"
735,Lead - Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
736,Data Scientist - Python/sql,Catalyst,Bengaluru,2-7 Yrs,"Java
R
mathematical modelling
NLP
Business Analyst
RDBMS
Data Scientist
statistical analysis"
737,Data Scientist,Bion,Bengaluru,2-7 Yrs,"Data Science
NLP
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity"
738,Lead Data Scientist,Catalyst,Bengaluru,2-4 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
739,Lead Data Scientist,Catalyst,Bengaluru,2-2 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
740,Lead Data Scientist,Catalyst,Bengaluru,2-4 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
741,Lead Data Scientist,Catalyst,Bengaluru,2-2 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
742,Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
743,Lead Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
744,Chief Data Scientist - Customer & Marketing Analytics,Excellers Management Services Pvt Ltd,"Chennai, Bengaluru",13-23 Yrs,"Customer Analytics
Marketing Analytics
Data Science
Artificial Intelligence
Customer Marketing
data scientist
Machine Learning
Predictive Analytics"
745,Lead Data Scientist,Bion,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
746,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Bengaluru,3-7 Yrs,"Data Science
NLP
Artificial Intelligence
Data Management
Big Data
Data Analytics
Analytics
Python"
747,Lead Data Scientist - Python/ R/ SQL,e-Hireo Global Pvt Ltd,Bengaluru,3-8 Yrs,"Data Science
R
eCommerce
Data Scientist
Data Visualization
Data Analytics
Python
SQL"
748,Data Scientist - Python/r,Catalyst,Bengaluru,2-6 Yrs,"Data Science
R
Data Scientist
Data Management
product development
Python
SQL"
749,Data Scientist - 5 To 12 Yrs - Bangalore,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Data Science
python
scala
Data Scientist
data research
Deep Learning
ML"
750,Lead Data Scientist,Bigshyft Hiring for Brillio,Bengaluru,8-12 Yrs,"Hadoop
Spark
Machine Learning ML
Statistical Modelling
Python"
751,Data Scientist/ Analyst,Applied Data Finance,Chennai,2-3 Yrs,"g Python query language
MySQL Object Oriented program"
752,Data Scientist / Analyst,Analytics Vidhya Educon Pvt. Ltd,Chennai,5-10 Yrs,"Analyst
SAS R
Author
HTML
Analytics
Android
Python"
753,Data Scientist,XIUS,Hyderabad,1-3 Yrs,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
754,Senior Data Scientist - Advanced Analytics/data Science,Fidelity IT Jobs,Gurgaon,7-12 Yrs,"Data Science
Data Scientist
Data Management
Web Analytics
Data Modeling
Data Analytics
Statistics
Machine Learning"
755,Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
756,Senior Data Scientist,Cynosure Corporate Solutions,Gurgaon,5-10 Yrs,"Algorithms
Computer Science
Neural Networks
Product Engineering
Machine Learning
Statistics
Deep Learning
Linear Algebra"
757,Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
758,Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
759,Data Scientist & Software Engineer,Antrors HR Solutions,Gurgaon,5-8 Yrs,"C#
R
Data Scientist
Javascript
NodeJS
Python"
760,Data Scientist,Skyleaf Consultants,Mumbai,10-15 Yrs,"Analysis Services
Statistics
MATLAB
Data Science
R
Advanced Analytics
Classification
kafka"
761,Data Scientist - ETL/ Analytics,The Hiring Story,Mumbai,3-6 Yrs,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
762,Data Scientist - Fintech,BuzzHire,"Delhi NCR, Mumbai",2-5 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python
SQL"
763,Data Scientist - Python/sas/r - Analytics Center of Excellence,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"HQL
SAS
Scala
Data Mining
Map / Reduce
Statistics
Machine Learning
SQL"
764,Data Scientist - IT,SUCCESSWRKS HR Solutions Private Limited,Mumbai,3-8 Yrs,"Data Science
Data Scientist
Data Management
Machine Learning
Statistics
Python"
765,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,3-7 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics
SQL"
766,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Mumbai,3-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
767,Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,Mumbai,4-9 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Analytics
Python
SQL"
768,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
769,"Data Scientist - Thane , Mumbai",Empower Recruitments,"Navi Mumbai, Mumbai",1-4 Yrs,"Unica Campaign
R
Data Management
Machine Learning
MATLAB
Python"
770,Con - Big Data Analytics + Data Scientist,Pylon Management Consulting Pvt Ltd,Mumbai,2-4 Yrs,"Data Science
Pyspark
Hive
Big Data Analytics
R
Artificial Intelligence
Hadoop
big data technologies"
771,Data Scientist,Climate Connect,Pune,2-5 Yrs,Data Scientist
772,Senior Scientist/nlp/ Machine Learning/data Mining Professional,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
773,Sr. Data Scientist :: UHG :: Noida :: NIkita,PEOPLE STAFFING SOLUTIONS,Noida,5-8 Yrs,"python
nlp
data science
sas
machine learning"
774,Senior Scientist/nlp/machine Learning/data Mining Professional,Career Maker,Bengaluru,4-9 Yrs,"model validation
nlp
Linux
data mining
scientist
predictive modeling
model development
software engineering"
775,Senior Data Scientist,Bigshyft Hiring for Octro,Noida,6-9 Yrs,"R
Machine Learning ML
Statistical Modelling
Python"
776,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Kolkata,8-12 Yrs,"Predictive Modelling
Machine Learning ML
Natural Language Processing NLP
Python"
777,"Sr. Data Scientist- Python and R , Matlab",HR Innovation Group,"Nagpur, Nagpur Itpark",5-10 Yrs,"R
adoption of AI / ML
MATLAB
Price Forecasting & Risk evaluation.
Python"
778,Data Scientist,The Data Team,"Chennai, Bengaluru",10-15 Yrs,"data science
Linux
RDBMS
MySQL
Javascript
Oracle
Business intelligence
SQL"
779,Data Scientist,Intertrustviteos Corporate and Fund Services Private Limited,Bengaluru(Electronics City Phase 1),5-10 Yrs,Data Scientist
780,Data Scientist,DMI Innovations Pvt. Ltd,Bengaluru,5-10 Yrs,"R
Python
SQL"
781,Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,2-4 Yrs,"python
r
tableau
sas
MS Office
Statistics
sql"
782,Data Scientist,Telarix,Bengaluru,2-5 Yrs,"volte
Roaming
Management"
783,Data Scientist - Delivery,Uniphore Software Systems Private Limited,Bengaluru,5-6 Yrs,"Predictive Modeling
Time Series Analysis
Contact Center
Advanced Analytics
Statistical Modeling
machine learning"
784,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,Bengaluru,3-7 Yrs,"Unix
Ubuntu
GIT
Analytical
Debugging
Machine learning
Programming
Product design"
785,Data Science/ Scientist - Python/ Deep Learning,New Era India,Bengaluru,7-12 Yrs,"Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
786,Data Scientist,ScaleIn,Bengaluru,4-9 Yrs,"Performance tuning
analytical
Postgresql
administration
Perl
SQL
nosql
analytics"
787,Data Scientist - Engineering,PromptCloud Technologies Private Limited,Bengaluru,2-3 Yrs,"Tensorflow
nlp
phython
Machine Learning
Deep Learning"
788,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
789,Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
790,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,6-11 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
791,Dev - Data Scientist,Diamond pick,Bengaluru,7-12 Yrs,Dev - Data Scientist
792,Data Scientist - Python/ R,Catalyst,Bengaluru,2-6 Yrs,"Product Development
Quantitative Analysis
Computer Science
Senior Management
Product Engineering
Organization Skills"
793,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,2-7 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
794,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,Consulting
795,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"Scalability
Consulting
Analytics
Python"
